iter	RMSE
0	799.9194957
1	737.9237309
2	682.7277322
3	631.8054546
4	585.7012246
5	542.1154196
6	502.1822018
7	467.3847412
8	437.0902666
9	408.1920636
10	383.1656187
11	360.3781472
12	337.8525643
13	320.5747513
14	304.7200805
15	290.3367208
16	278.2264541
17	267.0808844
18	257.5126267
19	249.1213023
20	240.5568895
21	233.0128905
22	225.9566269
23	218.460447
24	211.0719518
25	205.5536548
26	200.5536083
27	196.8611818
28	192.8709838
29	189.326758
30	184.5531643
31	181.1836747
32	178.5744552
33	175.5262352
34	172.4926658
35	170.7056898
36	167.968569
37	165.8016682
38	163.4435555
39	160.855886
40	159.2627148
41	157.6498949
42	155.3627148
43	154.1388756
44	152.9841515
45	150.8406785
46	149.7081606
47	146.9953431
48	144.7816225
49	143.360953
50	141.9105911
51	140.3875117
52	138.4406566
53	137.1336441
54	136.1874634
55	135.2946996
56	134.3555432
57	133.4775441
58	132.1751199
59	131.4520038
60	130.737065
61	129.2036017
62	127.7953412
63	127.1813213
64	125.4600163
65	124.2919207
66	123.0460735
67	122.4697295
68	120.9265239
69	120.3259195
70	119.8317491
71	119.3739947
72	118.7962929
73	118.310742
74	117.0202943
75	116.6377703
76	115.745688
77	114.5872123
78	113.8381238
79	113.4804595
80	113.0561886
81	112.6710713
82	110.4883941
83	110.1512222
84	108.2539449
85	106.3351709
86	105.3976778
87	104.3350721
88	104.0328207
89	103.172358
90	102.9104572
91	102.5409816
92	101.3785232
93	101.1378028
94	99.85313956
95	99.6029198
96	98.69605127
97	98.45075901
98	97.2670716
99	96.56833358
100	96.343314
101	95.41484993
102	94.46773027
103	93.40176754
104	92.4927266
105	92.07547669
106	91.57561249
107	90.71829363
108	90.25964086
109	89.86887601
110	89.14289027
111	88.19110875
112	87.41227443
113	86.62458879
114	85.87826171
115	85.67232436
116	85.013779
117	84.25795018
118	84.0581303
119	83.72428191
120	83.06981826
121	82.5178181
122	82.18577702
123	81.50683443
124	81.31158758
125	80.99617034
126	80.81514577
127	80.63877505
128	79.99795076
129	79.43616087
130	78.75259676
131	78.22998
132	77.6661354
133	76.67533529
134	76.05148175
135	75.88016163
136	75.42766655
137	74.77029035
138	74.22997792
139	74.07053103
140	73.64490236
141	73.47625615
142	72.98789626
143	72.39256487
144	71.77799369
145	71.63478326
146	71.12442955
147	70.55126009
148	70.0701343
149	69.90564366
150	69.75292664
151	69.2213352
152	69.09675125
153	68.71093364
154	68.18484646
155	67.55573981
156	67.16312162
157	66.72303001
158	66.15021504
159	65.8026756
160	65.34489609
161	64.99427744
162	64.65213474
163	64.2323415
164	63.92319491
165	63.58610225
166	63.12417968
167	62.99994586
168	62.55396258
169	62.26600497
170	62.14648399
171	61.71432731
172	61.15828849
173	61.0476078
174	60.66549461
175	60.30100798
176	59.92115985
177	59.7251837
178	59.38249175
179	59.28325941
180	59.09712023
181	58.95756701
182	58.62228351
183	58.36133719
184	58.26779271
185	57.95245189
186	57.66772412
187	57.53714998
188	57.15791501
189	56.80206376
190	56.64974039
191	56.49528361
192	56.15439165
193	55.92872209
194	55.60736906
195	55.31640673
196	55.01604173
197	54.67133414
198	54.46312469
199	54.20642519
200	54.13463035
201	53.78497198
202	53.5308787
203	53.34920588
204	53.15927128
205	53.03446676
206	52.75766174
207	52.49952723
208	52.48589425
209	52.23972297
210	52.00908131
211	51.67940268
212	51.47238505
213	51.27496311
214	51.04019433
215	50.90886751
216	50.89670439
217	50.69610567
218	50.50850088
219	50.32968311
220	50.13999473
221	49.98985725
222	49.73567423
223	49.51499505
224	49.35607378
225	49.14593772
226	48.97964002
227	48.9676694
228	48.8091804
229	48.6310018
230	48.47934161
231	48.32116391
232	48.20744488
233	48.05424536
234	47.91815975
235	47.61299268
236	47.51503589
237	47.26635261
238	47.16861294
239	46.93267758
240	46.83923399
241	46.61532977
242	46.40673793
243	46.18596224
244	45.94966527
245	45.78803677
246	45.71221301
247	45.50842988
248	45.31143797
249	45.24046559
250	45.22829051
251	45.16286436
252	45.12193986
253	44.97499175
254	44.89360289
255	44.83262161
256	44.70403845
257	44.52020867
258	44.3441126
259	44.26806903
260	44.20716684
261	44.13519347
262	44.12398994
263	43.96079826
264	43.84091469
265	43.71822559
266	43.60273134
267	43.47488619
268	43.36688443
269	43.23947853
270	43.18169503
271	43.12315216
272	43.11232367
273	43.01145177
274	42.90308796
275	42.80832077
276	42.69159916
277	42.59119116
278	42.48635239
279	42.39005096
280	42.2929718
281	42.28251639
282	42.03331513
283	41.97372486
284	41.86393761
285	41.79358354
286	41.69781451
287	41.62016548
288	41.61013705
289	41.5056241
290	41.42212076
291	41.1904988
292	41.13918319
293	40.92353573
294	40.87485895
295	40.7882111
296	40.7784727
297	40.6515519
298	40.47512415
299	40.30847457
300	40.15823974
301	40.0065013
302	39.93472362
303	39.86207301
304	39.67632826
305	39.56720625
306	39.49882273
307	39.40238658
308	39.31330139
309	39.23202798
310	39.10223782
311	39.03702884
312	38.93856142
313	38.80540816
314	38.66975733
315	38.64598892
316	38.56876674
317	38.49145885
318	38.44133498
319	38.31755933
320	38.16178597
321	38.09023071
322	38.0492335
323	38.00065022
324	37.78539328
325	37.73941157
326	37.53451188
327	37.52234398
328	37.43510279
329	37.23952707
330	37.19812472
331	37.18894125
332	36.78404315
333	36.74536312
334	36.55790706
335	36.51847524
336	36.50947568
337	36.36449419
338	36.1920047
339	36.04501766
340	36.00834642
341	35.80030708
342	35.72329882
343	35.60426962
344	35.48217383
345	35.31235445
346	35.24642166
347	35.13213446
348	35.0697235
349	34.97619248
350	34.81129109
351	34.67539944
352	34.53633843
353	34.37805388
354	34.25827099
355	34.12862819
356	33.78220464
357	33.74540586
358	33.37680017
359	33.34184317
360	33.29998311
361	33.2602844
362	33.17852067
363	33.08636507
364	33.07697608
365	32.94865031
366	32.90763801
367	32.72142661
368	32.68933522
369	32.67020878
370	32.65893904
371	32.54127747
372	32.20490692
373	32.08855225
374	31.99187335
375	31.88330184
376	31.65183908
377	31.61711918
378	31.58091826
379	31.54378289
380	31.52733829
381	31.33010683
382	31.12006241
383	31.08881282
384	31.0811378
385	30.95165221
386	30.94371486
387	30.88933797
388	30.86507145
389	30.72772156
390	30.56237688
391	30.41412696
392	30.31196855
393	30.23081947
394	30.22365707
395	30.1625694
396	29.97580523
397	29.96057973
398	29.7908945
399	29.74475353
400	29.59605225
401	29.53941186
402	29.39233995
403	29.3012094
404	29.29270376
405	29.15216023
406	29.05693964
407	28.94029014
408	28.90918433
409	28.86781991
410	28.81563377
411	28.64751928
412	28.63401198
413	28.47643274
414	28.32492465
415	28.18657056
416	28.08989399
417	28.08349405
418	28.07553475
419	27.98317152
420	27.92459847
421	27.73722819
422	27.66721469
423	27.54699995
424	27.46550222
425	27.45328682
426	27.31491277
427	27.20527933
428	27.17504813
429	27.12058905
430	27.00630679
431	26.9766174
432	26.87122378
433	26.7978499
434	26.71883682
435	26.71302984
436	26.54387921
437	26.43144167
438	26.4065687
439	26.32375744
440	26.27313775
441	26.18883223
442	26.06010842
443	26.04869801
444	25.99060775
445	25.96646067
446	25.86813741
447	25.78016836
448	25.73543876
449	25.60363434
450	25.49317243
451	25.37418208
452	25.36867448
453	25.30870927
454	25.25414432
455	25.24772364
456	25.2375416
457	25.18697292
458	25.09765309
459	25.01724762
460	24.94149185
461	24.82734191
462	24.76948823
463	24.68887229
464	24.68396383
465	24.58193532
466	24.48703301
467	24.32951304
468	24.22796219
469	24.14010529
470	24.08286464
471	24.07134824
472	23.87964635
473	23.78890112
474	23.7644214
475	23.69025542
476	23.66462577
477	23.65080727
478	23.58099405
479	23.53881485
480	23.51757485
481	23.49528888
482	23.3859543
483	23.37354307
484	23.3508006
485	23.34126782
486	23.31443171
487	23.2322819
488	23.17795886
489	23.00443111
490	22.93759316
491	22.90040363
492	22.85856333
493	22.85372592
494	22.79733673
495	22.69851331
496	22.65996087
497	22.65338656
498	22.57041027
499	22.48039669
500	22.45504409
501	22.41939777
502	22.33414916
503	22.32604159
504	22.29320819
505	22.24483801
506	22.19843564
507	22.13084053
508	22.04742217
509	22.02075034
510	21.94922485
511	21.87659987
512	21.84562754
513	21.78228517
514	21.77042852
515	21.71183955
516	21.66664497
517	21.64402706
518	21.57846713
519	21.49463974
520	21.47418137
521	21.41301705
522	21.37792136
523	21.37341268
524	21.36597353
525	21.34729712
526	21.28316507
527	21.1939877
528	21.13779824
529	21.09087212
530	21.06736314
531	21.05111326
532	21.04274261
533	20.98622041
534	20.97077592
535	20.91694282
536	20.81753283
537	20.70629352
538	20.64863351
539	20.64421508
540	20.59454401
541	20.58061966
542	20.55242224
543	20.54294633
544	20.47932783
545	20.45297799
546	20.37467476
547	20.3222689
548	20.31421701
549	20.25806412
550	20.2145019
551	20.0894384
552	19.99914191
553	19.91753789
554	19.88987827
555	19.88631342
556	19.816171
557	19.7300608
558	19.70771346
559	19.63574814
560	19.55792112
561	19.48012344
562	19.45869168
563	19.44676409
564	19.40009663
565	19.35808707
566	19.33588443
567	19.31631098
568	19.30316104
569	19.27652899
570	19.14472153
571	19.08708655
572	19.02221144
573	19.00201793
574	18.94682456
575	18.90189855
576	18.88275153
577	18.83067877
578	18.78100074
579	18.71971121
580	18.65445539
581	18.60267125
582	18.56248355
583	18.48982415
584	18.3879123
585	18.3417044
586	18.2787306
587	18.23463562
588	18.21284465
589	18.16479576
590	18.06933872
591	17.95448079
592	17.91164813
593	17.89122749
594	17.83406845
595	17.81319544
596	17.78854639
597	17.78329191
598	17.64731062
599	17.59624607
600	17.55528432
601	17.52201962
602	17.45523771
603	17.32888067
604	17.26824255
605	17.23833447
606	17.19335694
607	17.15525479
608	17.08489805
609	17.0484947
610	17.0082067
611	16.96510968
612	16.96146922
613	16.92367827
614	16.9081442
615	16.8466063
616	16.80623806
617	16.69340141
618	16.65942727
619	16.61129507
620	16.58800004
621	16.55705442
622	16.53839072
623	16.51463972
624	16.47610916
625	16.46108979
626	16.4437351
627	16.40772602
628	16.38600659
629	16.33752675
630	16.29705927
631	16.25483195
632	16.23460216
633	16.23041099
634	16.17509625
635	16.15206944
636	16.12444446
637	16.07626694
638	16.05816374
639	16.02517518
640	15.9943486
641	15.95982228
642	15.91232798
643	15.86480186
644	15.84719952
645	15.80918747
646	15.80021289
647	15.7710247
648	15.75297107
649	15.70345849
650	15.67612067
651	15.66021707
652	15.55055114
653	15.5234887
654	15.50285337
655	15.45571702
656	15.42682431
657	15.39222469
658	15.34803024
659	15.32863491
660	15.30250272
661	15.28242717
662	15.25790602
663	15.18236195
664	15.14310802
665	15.12519558
666	15.07505257
667	15.05983168
668	15.03628553
669	14.99013608
670	14.97078936
671	14.95641875
672	14.8854806
673	14.86359123
674	14.83308099
675	14.81252188
676	14.77856205
677	14.75063979
678	14.72136452
679	14.70280042
680	14.67040257
681	14.63035112
682	14.58702476
683	14.5173262
684	14.49930975
685	14.45184018
686	14.43007034
687	14.39868007
688	14.36009536
689	14.31961436
690	14.2917295
691	14.25662483
692	14.22670204
693	14.20928332
694	14.19807467
695	14.18107881
696	14.16774906
697	14.10102645
698	14.07211881
699	14.05615897
700	14.03527762
701	14.00492555
702	13.97650989
703	13.94672598
704	13.90538631
705	13.89303772
706	13.8363912
707	13.79583449
708	13.76509054
709	13.73818282
710	13.71273959
711	13.68863859
712	13.66573325
713	13.63533606
714	13.63134509
715	13.61171394
716	13.60293667
717	13.57884315
718	13.54801455
719	13.54113442
720	13.50585198
721	13.47928128
722	13.40200516
723	13.37661645
724	13.35121556
725	13.29708905
726	13.25956174
727	13.23531411
728	13.20069402
729	13.18607615
730	13.16228251
731	13.13963905
732	13.10261767
733	13.06673635
734	13.03432301
735	13.00873698
736	12.98539452
737	12.97175297
738	12.95091756
739	12.93969951
740	12.92425426
741	12.89466036
742	12.86557166
743	12.82802191
744	12.81003793
745	12.74518858
746	12.710728
747	12.64859019
748	12.62353945
749	12.51111724
750	12.4952664
751	12.4450681
752	12.42290009
753	12.39138405
754	12.37632643
755	12.29699319
756	12.28392488
757	12.21038331
758	12.18891321
759	12.1682592
760	12.14886087
761	12.1364106
762	12.12278002
763	12.10552574
764	12.08579931
765	12.06921531
766	12.05130409
767	11.98376274
768	11.96824906
769	11.95023669
770	11.93779286
771	11.91226919
772	11.900747
773	11.8847899
774	11.8699882
775	11.8590875
776	11.83638828
777	11.79153545
778	11.77030683
779	11.69118905
780	11.6751586
781	11.65699736
782	11.63080748
783	11.58832324
784	11.57374767
785	11.55093144
786	11.53268597
787	11.51626054
788	11.50470121
789	11.49953166
790	11.46293004
791	11.43813945
792	11.38236931
793	11.36327809
794	11.34045248
795	11.31963673
796	11.29153842
797	11.23428531
798	11.21661768
799	11.18999992
800	11.17734726
801	11.12957897
802	11.11742201
803	11.10440269
804	11.08497214
805	11.07286955
806	11.05812389
807	11.04411176
808	11.02329365
809	10.99282288
810	10.98161697
811	10.93142359
812	10.92075609
813	10.8989537
814	10.87530614
815	10.85607163
816	10.8430032
817	10.82546045
818	10.81401784
819	10.8026157
820	10.78787075
821	10.77717677
822	10.74832402
823	10.73089833
824	10.72055029
825	10.69570025
826	10.67890716
827	10.62890441
828	10.61857936
829	10.59825973
830	10.58234014
831	10.56122692
832	10.54205805
833	10.53226786
834	10.4803993
835	10.45576146
836	10.43653524
837	10.42309464
838	10.41067182
839	10.36945438
840	10.34926281
841	10.32541733
842	10.32015788
843	10.29785677
844	10.29247855
845	10.2785567
846	10.23640304
847	10.21950191
848	10.20233279
849	10.1747881
850	10.13237513
851	10.10623693
852	10.09766231
853	10.05902799
854	10.03416125
855	10.0181117
856	9.997981854
857	9.981041287
858	9.976266638
859	9.954914314
860	9.9203402
861	9.905050449
862	9.889601577
863	9.872351723
864	9.858267109
865	9.847342221
866	9.841686217
867	9.818589576
868	9.805313263
869	9.782764737
870	9.769349927
871	9.764013375
872	9.749242264
873	9.729034553
874	9.71639152
875	9.688912077
876	9.675640872
877	9.648113042
878	9.635833024
879	9.624173121
880	9.596854846
881	9.582204744
882	9.55875503
883	9.546439087
884	9.53620335
885	9.513979506
886	9.50230679
887	9.491317356
888	9.477879157
889	9.467897144
890	9.458516608
891	9.451380976
892	9.42565298
893	9.414806077
894	9.405263207
895	9.388815467
896	9.366106142
897	9.348678969
898	9.327036326
899	9.287068538
900	9.269544281
901	9.256936884
902	9.247943128
903	9.237401559
904	9.215703584
905	9.207600669
906	9.201257575
907	9.195038625
908	9.18076032
909	9.143803174
910	9.130446221
911	9.118281599
912	9.095001129
913	9.083495868
914	9.073904579
915	9.060249944
916	9.046219402
917	9.032338582
