iter	Passed	Remaining
0	164	164625
1	172	85959
2	176	58517
3	179	44592
4	182	36267
5	185	30786
6	189	26822
7	192	23816
8	195	21503
9	199	19701
10	201	18139
11	205	16918
12	208	15848
13	211	14913
14	215	14160
15	218	13445
16	227	13128
17	233	12726
18	238	12332
19	244	11996
20	248	11589
21	251	11195
22	257	10917
23	260	10578
24	263	10257
25	266	9985
26	269	9718
27	272	9464
28	275	9238
29	279	9029
30	283	8872
31	287	8687
32	290	8504
33	293	8343
34	296	8181
35	299	8018
36	302	7877
37	306	7748
38	309	7626
39	313	7522
40	316	7408
41	320	7302
42	323	7200
43	330	7184
44	334	7096
45	338	7010
46	342	6935
47	345	6854
48	348	6767
49	351	6687
50	355	6609
51	358	6539
52	361	6465
53	364	6393
54	368	6323
55	371	6259
56	375	6217
57	379	6162
58	382	6102
59	385	6045
60	390	6009
61	393	5956
62	396	5896
63	399	5841
64	402	5789
65	406	5750
66	409	5705
67	412	5654
68	415	5604
69	418	5562
70	423	5537
71	426	5492
72	429	5454
73	432	5411
74	435	5369
75	438	5332
76	442	5298
77	445	5261
78	448	5225
79	451	5189
80	454	5155
81	457	5125
82	460	5092
83	463	5059
84	466	5026
85	470	4999
86	473	4966
87	475	4932
88	478	4900
89	481	4868
90	484	4839
91	487	4815
92	490	4785
93	493	4755
94	496	4726
95	499	4701
96	502	4679
97	505	4655
98	508	4629
99	511	4605
100	514	4582
101	518	4564
102	521	4539
103	523	4514
104	526	4491
105	530	4470
106	532	4447
107	536	4431
108	540	4414
109	543	4396
110	546	4380
111	550	4362
112	554	4350
113	557	4330
114	560	4310
115	563	4292
116	566	4275
117	569	4258
118	572	4239
119	575	4221
120	578	4202
121	581	4184
122	584	4168
123	587	4149
124	590	4130
125	593	4115
126	596	4101
127	600	4087
128	603	4072
129	605	4055
130	608	4038
131	612	4027
132	615	4013
133	618	3995
134	621	3980
135	624	3964
136	626	3949
137	629	3933
138	633	3921
139	636	3907
140	638	3892
141	641	3878
142	645	3866
143	648	3854
144	652	3844
145	654	3830
146	657	3817
147	661	3806
148	664	3797
149	668	3787
150	671	3775
151	674	3762
152	677	3751
153	680	3739
154	684	3730
155	687	3718
156	690	3707
157	693	3695
158	696	3682
159	699	3671
160	702	3659
161	705	3646
162	707	3635
163	710	3623
164	713	3613
165	717	3603
166	720	3593
